pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
84.6,-70.175,0.0,bottom,C1,,,C_0805_2012Metric,20pF,smt
73.3,-72.475,0.0,bottom,C10,,,C_0805_2012Metric,1uF,smt
89.575,-75.725,90.0,bottom,C11,,,C_0805_2012Metric,0.1uF,smt
88.907,-79.098,0.0,bottom,C2,,,C_0805_2012Metric,20pF,smt
66.9,-86.25,-90.0,bottom,C3,,,C_0805_2012Metric,100nF,smt
60.0,-86.125,-90.0,bottom,C4,,,C_0805_2012Metric,100nF,smt
58.374,-68.801,90.0,bottom,C5,,,C_0805_2012Metric,100nF,smt
68.506,-66.364,90.0,bottom,C6,,,C_0805_2012Metric,100nF,smt
74.575,-47.05,90.0,bottom,C7,,,C_0805_2012Metric,1uF,smt
83.8,-47.05,-90.0,bottom,C8,,,C_0805_2012Metric,10uF,smt
62.275,-86.125,90.0,bottom,C9,,,C_0805_2012Metric,4.7uF,smt
64.465,-58.231,0.0,bottom,D1,,,SOT-143_Handsoldering,PRTR5V0U2X,smt
127.15,-92.25,90.0,bottom,D10,,,D_SOD-123,1N4148W,smt
78.75,-118.75,180.0,bottom,D11,,,D_SOD-123,1N4148W,smt
97.79,-118.75,180.0,bottom,D12,,,D_SOD-123,1N4148W,smt
116.84,-118.75,180.0,bottom,D13,,,D_SOD-123,1N4148W,smt
124.05,-118.73,0.0,bottom,D14,,,D_SOD-123,1N4148W,smt
78.74,-137.8,180.0,bottom,D15,,,D_SOD-123,1N4148W,smt
97.8,-137.8,180.0,bottom,D16,,,D_SOD-123,1N4148W,smt
116.84,-137.8,180.0,bottom,D17,,,D_SOD-123,1N4148W,smt
78.7,-155.8,180.0,bottom,D18,,,D_SOD-123,1N4148W,smt
98.1,-155.7,180.0,bottom,D19,,,D_SOD-123,1N4148W,smt
71.3,-47.1,180.0,bottom,D2,,,D_SOD-323,BAT60JFILM,smt
116.84,-156.85,180.0,bottom,D20,,,D_SOD-123,1N4148W,smt
126.35,-156.85,-90.0,bottom,D21,,,D_SOD-123,1N4148W,smt
88.3,-175.95,180.0,bottom,D22,,,D_SOD-123,1N4148W,smt
116.84,-175.9,180.0,bottom,D23,,,D_SOD-123,1N4148W,smt
50.15,-99.675,180.0,bottom,D24,,,D_SOD-123,1N4148W,smt
50.2,-118.775,180.0,bottom,D25,,,D_SOD-123,1N4148W,smt
50.125,-137.75,180.0,bottom,D26,,,D_SOD-123,1N4148W,smt
50.075,-156.85,180.0,bottom,D27,,,D_SOD-123,1N4148W,smt
50.175,-175.875,180.0,bottom,D28,,,D_SOD-123,1N4148W,smt
46.65,-70.45,90.0,bottom,D29,,,D_SOD-123,1N4148W,smt
78.58125,-71.12,180.0,bottom,D3,,,D_SOD-123,1N4148W,smt
97.7,-70.2,180.0,bottom,D4,,,D_SOD-123,1N4148W,smt
116.85,-70.2,180.0,bottom,D5,,,D_SOD-123,1N4148W,smt
135.95,-70.2,180.0,bottom,D6,,,D_SOD-123,1N4148W,smt
86.8,-97.75,180.0,bottom,D7,,,D_SOD-123,1N4148W,smt
105.9,-97.75,180.0,bottom,D8,,,D_SOD-123,1N4148W,smt
124.95,-97.7,180.0,bottom,D9,,,D_SOD-123,1N4148W,smt
152.94,-110.1825,0.0,top,EAST,1-0401FBV0T,,PinSocket_1x04_P2.54mm_Vertical,Conn_01x04,tht
76.65,-79.325,0.0,bottom,FB1,,,Fuse_0805_2012Metric_Pad1.15x1.40mm_BigPads,Ferrite_Bead,smt
79.175,-47.05,180.0,bottom,IC1,LD1117S33CTR,,SOT223,LD1117,tht
43.875,-52.6,-90.0,bottom,J1,1-0601FBV0T,,PinSocket_1x06_P2.54mm_Horizontal,Conn_01x06,tht
135.930866,-56.625888,0.0,bottom,LED1,,,LED_MX_6028R,MX_SK6812MINI-E,smt
135.945866,-85.155888,0.0,bottom,LED10,,,LED_MX_6028R,MX_SK6812MINI-E,smt
130.874999,-118.7225,90.0,bottom,LED11,,,LED_MX_6028R,MX_SK6812MINI-E,smt
116.87,-104.21,0.0,bottom,LED12,,,LED_MX_6028R,MX_SK6812MINI-E,smt
97.765,-104.13,0.0,bottom,LED13,,,LED_MX_6028R,MX_SK6812MINI-E,smt
78.77,-104.18,0.0,bottom,LED14,,,LED_MX_6028R,MX_SK6812MINI-E,smt
50.16,-104.13,0.0,bottom,LED15,,,LED_MX_6028R,MX_SK6812MINI-E,smt
